#Version: 1.0.0.0
ID;ObservationType;Details1;Details2;Details3;Details4;Details5;Details6;Deactivation;Class;Message;MinPendingTime;Latch1;Latch2;HigherPrioAlarm
39;Digital;algGVL.GPA_AI_ToHMI.Ttg_inTRK.fault_common;=;TRUE;;;;;Warning;Температура топливного газа перед дозатором;t#0s;;;
40;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_06.fault_common;=;TRUE;;;;;Warning;Резерв (100М);t#0s;;;
41;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_07.fault_common;=;TRUE;;;;;Warning;Резерв (100П);t#0s;;;
42;Digital;algGVL.GPA_AI_ToHMI.Pos_TRK.fault_common;=;TRUE;;;;;Warning;Положение дозатора;t#0s;;;
43;Digital;algGVL.GPA_AI_ToHMI.Pos_VNA.fault_common;=;TRUE;;;;;Warning;Положение ВНА;t#0s;;;
44;Digital;algGVL.GPA_AI_ToHMI.Set_TRK_KCU.fault_common;=;TRUE;;;;;Warning;Задание положения дозатора. КЦУ;t#0s;;;
45;Digital;algGVL.GPA_AI_ToHMI.Set_VNA_KCU.fault_common;=;TRUE;;;;;Warning;Задание положения ВНА. КЦУ;t#0s;;;
46;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_08.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
47;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_09.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
48;Digital;algGVL.GPA_AI_ToHMI.Pm_inD.fault_common;=;TRUE;;;;;Warning;Р масла на входе в Д;t#0s;;;
49;Digital;algGVL.GPA_AI_ToHMI.Pm_outD.fault_common;=;TRUE;;;;;Warning;Р масла на выходе из Д;t#0s;;;
50;Digital;algGVL.GPA_AI_ToHMI.Lm_MBD.fault_common;=;TRUE;;;;;Warning;Количество масла в МБД;t#0s;;;
51;Digital;algGVL.GPA_AI_ToHMI.Ptg_inSK.fault_common;=;TRUE;;;;;Warning;Давл. топливн. газа на входе Д (перед СК);t#0s;;;
52;Digital;algGVL.GPA_AI_ToHMI.Psufl_D.fault_common;=;TRUE;;;;;Warning;Р суфлирования Д;t#0s;;;
53;Digital;algGVL.GPA_AI_ToHMI.Ppg_inStV.fault_common;=;TRUE;;;;;Warning;Р пуск. газа перед засл. СтВ;t#0s;;;
54;Digital;algGVL.GPA_AI_ToHMI.Qv_blowD.fault_common;=;TRUE;;;;;Warning;Расход воздуха через систему обдува  двигателя;t#0s;;;
55;Digital;algGVL.GPA_AI_ToHMI.dPv_filtVOU.fault_common;=;TRUE;;;;;Warning;dР воздуха на фильтрах блоке ВОУ;t#0s;;;
56;Digital;algGVL.GPA_AI_ToHMI.V_PPD.fault_common;=;TRUE;;;;;Warning;Виброскорость, передней подвески Д;t#0s;;;
