#Version: 1.0.0.0
ID;ObservationType;Details1;Details2;Details3;Details4;Details5;Details6;Deactivation;Class;Message;MinPendingTime;Latch1;Latch2;HigherPrioAlarm
44;Digital;algGVL.GPA_APS.Ab_ARM_AObs;=;TRUE;;;;;Error;АС:АОбс по команде оператора;t#0s;;;
45;Digital;algGVL.GPA_APS.Ns_ARM_NOss;=;TRUE;;;;;Error;АС:НОсс по команде оператора;t#0s;;;
46;Digital;algGVL.GPA_APS.Nb_ARM_NObs;=;TRUE;;;;;Error;АС:НОбс по команде оператора;t#0s;;;
47;Digital;algGVL.GPA_APS.As_SurgeN;=;TRUE;;;;;Error;АС:Помпаж Н (АПР);t#0s;;;
48;Digital;algGVL.GPA_APS.As_Tm_MB;=;TRUE;;;;;Error;АС:Низкая температура масла в МБ на резерве с газом;t#0s;;;
49;Digital;algGVL.GPA_APS.Ab_PmvhDno;=;TRUE;;;;;Error;АС:Нет давления масла на входе в двигатель;t#0s;;;
50;Digital;algGVL.GPA_APS.Ab_PmvhDmin;=;TRUE;;;;;Error;АС:Аварийно-низкое давление масла на входе в двигатель;t#0s;;;
51;Digital;algGVL.GPA_APS.Ab_PmvhBrk;=;TRUE;;;;;Error;АС:Отказ датчика измерения давления масла на входе в двигатель давление масладвх;t#0s;;;
52;Digital;algGVL.GPA_APS.Nb_PmvhDmin;=;TRUE;;;;;Error;АС:Низкое давление масла на входе в двигатель;t#0s;;;
53;Digital;algGVL.GPA_APS.Nb_PmvhBrk;=;TRUE;;;;;Error;АС:НО: «Отказ датчика измерения давления масла на входе  в двигатель давление масладвх»;t#0s;;;
54;Digital;algGVL.GPA_APS.Ab_avTg_ST;=;TRUE;;;;;Error;АС:Аварийная температура газа за СТ;t#0s;;;
55;Digital;algGVL.GPA_APS.Ab_TstHigh;=;TRUE;;;;;Error;АС:Аварийно-высокая температура газа за СТ;t#0s;;;
56;Digital;algGVL.GPA_APS.Ab_TstBrk;=;TRUE;;;;;Error;АС:Отказ более 9-ти каналов измерения Тст;t#0s;;;
57;Digital;algGVL.GPA_APS.Nb_hiTg_ST;=;TRUE;;;;;Error;АС:Высокая температура газа за СТ;t#0s;;;
58;Digital;algGVL.GPA_APS.Nb_TstHigh;=;TRUE;;;;;Error;АС:Высокая температура газа за СТ;t#0s;;;
59;Digital;algGVL.GPA_APS.Nb_TstBrk;=;TRUE;;;;;Error;АС:Отказ 9-ти каналов измерения Тст;t#0s;;;
60;Digital;algGVL.GPA_APS.Ab_TmspKvdMax;=;TRUE;;;;;Error;АС:Аварийно-высокая температура масла опоры ШП компрессора ГГ;t#0s;;;
61;Digital;algGVL.GPA_APS.Ab_TmspKvdBrk;=;TRUE;;;;;Error;АС:АО: «Отказ датчика измерения температуры масла опоры ШП компрессора ГГ»;t#0s;;;
62;Digital;algGVL.GPA_APS.Nb_TmspKvdMax;=;TRUE;;;;;Error;АС:Высокая температура масла опоры ШП компрессора ГГ;t#0s;;;
63;Digital;algGVL.GPA_APS.Nb_TmspKvdBrk;=;TRUE;;;;;Error;АС:НО: «Отказ датчика измерения температуры масла опоры ШП компрессора ГГ»;t#0s;;;
64;Digital;algGVL.GPA_APS.Ab_TmrpTvdMax;=;TRUE;;;;;Error;АС:Аварийно-высокая температура масла опоры РП турбины ГГ;t#0s;;;
65;Digital;algGVL.GPA_APS.Ab_TmrpTvdBrk;=;TRUE;;;;;Error;АС:АО: «Отказ датчика температуры масла опоры РП турбины ГГ»;t#0s;;;
66;Digital;algGVL.GPA_APS.Nb_TmrpTvdMax;=;TRUE;;;;;Error;АС:Высокая температура масла опоры РП турбины ГГ;t#0s;;;
67;Digital;algGVL.GPA_APS.Nb_TmrpTvdBrk;=;TRUE;;;;;Error;АС:НО: «Отказ датчика температуры масла опоры РП турбины ГГ»;t#0s;;;
68;Digital;algGVL.GPA_APS.Ab_TmopStMax;=;TRUE;;;;;Error;АС:Аварийно-высокая температура масла от подшипн. СТ;t#0s;;;
69;Digital;algGVL.GPA_APS.Ab_TmopStBrk;=;TRUE;;;;;Error;АС:АО: «Отказ датчика температуры масла от подшипн. СТ»;t#0s;;;
70;Digital;algGVL.GPA_APS.Nb_TmopStMax;=;TRUE;;;;;Error;АС:Высокая температура масла от подшипн.СТ;t#0s;;;
71;Digital;algGVL.GPA_APS.Nb_TmopStBrk;=;TRUE;;;;;Error;АС:НО: «Отказ датчика температуры масла от подшипн. СТ»;t#0s;;;
72;Digital;algGVL.GPA_APS.Ab_PgInStVav;=;TRUE;;;;;Error;АС:Аварийно-высокое давление пускового газа перед СтВ;t#0s;;;
73;Digital;algGVL.GPA_APS.Ab_PgInStVmin_proval;=;TRUE;;;;;Error;АС:Низкое давление пускового газа перед СтВ (Провал давления < 0.16 МПа);t#0s;;;
74;Digital;algGVL.GPA_APS.Ab_PgInStVmin;=;TRUE;;;;;Error;АС:Низкое давление пускового газа перед СтВ;t#0s;;;
75;Digital;algGVL.GPA_APS.Ab_PgInStVmax;=;TRUE;;;;;Error;АС:Повышенное давление газа перед СтВ;t#0s;;;
76;Digital;algGVL.GPA_APS.Ab_PoutStVMax;=;TRUE;;;;;Error;АС:Повышенное давление газа на выходе из СтВ;t#0s;;;
77;Digital;algGVL.GPA_APS.Ab_StV_CV;=;TRUE;;;;;Error;АС:Высокие обороты стартёра (ЦВ СтВ);t#0s;;;
78;Digital;algGVL.GPA_APS.Ab_PtgMin;=;TRUE;;;;;Error;АС:Аварийно-низкое давление топливного газа перед СК;t#0s;;;
79;Digital;algGVL.GPA_APS.Ab_PtgMax;=;TRUE;;;;;Error;АС:Аварийно-высокое давление топливного газа перед СК;t#0s;;;
80;Digital;algGVL.GPA_APS.Nb_PtgHigh;=;TRUE;;;;;Error;АС:Высокое давление топливного газа перед СК;t#0s;;;
81;Digital;algGVL.GPA_APS.Ab_TimeZapHigh;=;TRUE;;;;;Error;АС:Время запуска велико;t#0s;;;
82;Digital;algGVL.GPA_APS.Ab_VNABrkDop;=;TRUE;;;;;Error;АС:Отказ канала положения  ВНА допусковый контроль;t#0s;;;
83;Digital;algGVL.GPA_APS.Ab_VNABrk_Neg;=;TRUE;;;;;Error;АС:Неисправность ВНА (ВНА_зад – ВНА) < -7°;t#0s;;;
84;Digital;algGVL.GPA_APS.Ab_VNABrk_Pos;=;TRUE;;;;;Error;АС:Неисправность ВНА (ВНА_зад – ВНА) > 20°;t#0s;;;
85;Digital;algGVL.GPA_APS.Ab_KPVIMBrk;=;TRUE;;;;;Error;АС:Отказ электрической части канала управления КПВ - АО на запуске;t#0s;;;
86;Digital;algGVL.GPA_APS.Ab_KPGIMBrk;=;TRUE;;;;;Error;АС:Отказ электрической части канала управления КПГ, КПВЗ - АО на запуске;t#0s;;;
87;Digital;algGVL.GPA_APS.Ab_SK_openStart;=;TRUE;;;;;Error;АС:Самопроизвольное открытие СК;t#0s;;;
88;Digital;algGVL.GPA_APS.Ab_SKBrk;=;TRUE;;;;;Error;АС:Отказ пневмо-механической части канала управления СК;t#0s;;;
89;Digital;algGVL.GPA_APS.Ab_SKIMBrk;=;TRUE;;;;;Error;АС:Отказ электр. части канала управления СК;t#0s;;;
90;Digital;algGVL.GPA_APS.Ab_DozBrk;=;TRUE;;;;;Error;АС:Отказ ДГ, обнаруженный функциональным контролем;t#0s;;;
91;Digital;algGVL.GPA_APS.Ab_DozBrkDop;=;TRUE;;;;;Error;АС:Отказ канала измерения положения ДГ, обнаруженный допусковым контролем;t#0s;;;
92;Digital;algGVL.GPA_APS.Ab_StrMStV;=;TRUE;;;;;Error;АС:Стружка в масле СтВ;t#0s;;;
93;Digital;algGVL.GPA_APS.Ab_Tv_KShT;=;TRUE;;;;;Error;АС:Аварийно высокая температура воздуха под КШТ;t#0s;;;
94;Digital;algGVL.GPA_APS.Ab_Kr1_fault;=;TRUE;;;;;Error;АС:Кран 1 самопроизвольное закрытие на режиме;t#0s;;;
95;Digital;algGVL.GPA_APS.Nb_deltaPvxMax;=;TRUE;;;;;Error;АС:Входной тракт двигателя засорен;t#0s;;;
96;Digital;algGVL.GPA_APS.Ab_KrAPK_noON;=;TRUE;;;;;Error;АС:Кран 6р(АПК) не открылся;t#0s;;;
97;Digital;algGVL.GPA_APS.Nb_PSufMax;=;TRUE;;;;;Error;АС:Высокое давление суфлирования;t#0s;;;
98;Digital;algGVL.GPA_APS.Ab_RateVibPpMax;=;TRUE;;;;;Error;АС:Высокий рост виброскорости ПП;t#0s;;;
99;Digital;algGVL.GPA_APS.Ab_VibPpBrk;=;TRUE;;;;;Error;АС:АО: «Отказ канала измерения виброскорость двигателя в зоне ПП»;t#0s;;;
100;Digital;algGVL.GPA_APS.Nb_VibPpMax;=;TRUE;;;;;Error;АС:Опасная виброскорость двигателя в зоне ПП;t#0s;;;
101;Digital;algGVL.GPA_APS.Ab_RateVibZpMax;=;TRUE;;;;;Error;АС:Высокий рост виброскорости ЗП;t#0s;;;
102;Digital;algGVL.GPA_APS.Ab_VibZpBrk;=;TRUE;;;;;Error;АС:АО: «Отказ канала измерения виброскорость двигателя в зоне ЗП»;t#0s;;;
103;Digital;algGVL.GPA_APS.Nb_VibZpMax;=;TRUE;;;;;Error;АС:Опасная виброскорость двигателя в зоне ЗП;t#0s;;;
104;Digital;algGVL.GPA_APS.Nb_VibDMax;=;TRUE;;;;;Error;АС:Опасная вибрация двигателя (Дискр.);t#0s;;;
105;Digital;algGVL.GPA_APS.Nb_StrFS;=;TRUE;;;;;Error;АС:Стружка в фильтре-сигнализаторе;t#0s;;;
106;Digital;algGVL.GPA_APS.Nb_StrKP;=;TRUE;;;;;Error;АС:Стружка в масле коробке приводов;t#0s;;;
107;Digital;algGVL.GPA_APS.Nb_StrRPT;=;TRUE;;;;;Error;АС:Стружка в масле РП ТВД;t#0s;;;
108;Digital;algGVL.GPA_APS.Ab_TmvhDmin;=;TRUE;;;;;Error;АС:АО: Пониженная температура масла на входе в двигатель;t#0s;;;
109;Digital;algGVL.GPA_APS.Ab_TvhBrkzap;=;TRUE;;;;;Error;АС:Отказ канала измерения Твх на запуске;t#0s;;;
110;Digital;algGVL.GPA_APS.Nb_TvhBrkRezhim;=;TRUE;;;;;Error;АС:Отказ канала Твх Д;t#0s;;;
